Табельный номер,Фамилия,Пол,Год рождения,Год начала работы в компании,Подразделение,Должность,Оклад,Кол-во выполненных проектов
432,Миридонова,Женский,1988,2020,1,Сотрудник техподдержки,22200,2
433,Андреева,Женский,1980,2013,2,Начальник отдела,38400,74
434,Доронькин,Мужской,1972,2000,4,Технический специалист,38600,46
435,Терентьева,Женский,1984,2020,5,Начальник отдела,25800,18
436,Терентьев,Мужской,1971,2006,3,Сотрудник техподдержки,39700,57
437,Доронькин,Мужской,1971,2006,5,Сотрудник техподдержки,33600,36
438,Андреева,Женский,1977,2006,3,Программист,41100,91
439,Терентьева,Женский,1977,2018,4,Администратор,24600,26
440,Евсеев,Мужской,1984,2004,3,Сотрудник техподдержки,35400,44
441,Древесюк,Мужской,1973,2010,2,Технический специалист,37900,49
442,Доронькин,Мужской,1984,2017,1,Технический специалист,30900,49
443,Боброва,Женский,1982,2016,2,Программист,31600,36
444,Капибарова,Женский,1975,2013,3,Администратор,39400,54
445,Беброва,Женский,1989,2021,3,Технический специалист,25500,25
446,Хорькова,Женский,1977,2014,3,Начальник отдела,35200,32
447,Дементьев,Мужской,1982,2008,4,Сотрудник техподдержки,40100,81
448,Миридонов,Мужской,1971,2022,5,Начальник отдела,24400,14
449,Альбертов,Мужской,1983,2003,3,Начальник отдела,40400,64
450,Миридонова,Женский,1981,2017,2,Сотрудник техподдержки,32400,64
451,Древесюк,Мужской,1985,2018,2,Администратор,23800,18
452,Древесюк,Мужской,1983,2018,1,Администратор,23300,3
453,Древесюк,Мужской,1976,2002,3,Начальник отдела,39200,52
454,Древесюк,Мужской,1990,2020,5,Технический специалист,25500,25
455,Андреева,Женский,1982,2022,3,Администратор,23100,1
456,Иванова,Женский,1977,2010,1,Администратор,38900,89
457,Доронькин,Мужской,1982,2020,1,Технический специалист,20200,2
458,Иванова,Женский,1986,2016,2,Начальник отдела,38000,90
459,Древесюк,Мужской,1977,2021,1,Сотрудник техподдержки,26400,24
460,Миридонова,Женский,1989,2011,5,Программист,36300,53
461,Терентьева,Женский,1985,2018,5,Администратор,22700,17
462,Терентьев,Мужской,1988,2014,5,Администратор,39100,91
463,Андреева,Женский,1973,2019,5,Сотрудник техподдержки,23600,16
464,Миридонов,Мужской,1988,2013,4,Сотрудник техподдержки,39400,64
465,Доронькин,Мужской,1973,1997,3,Программист,39200,72
466,Альбертов,Мужской,1971,2005,2,Сотрудник техподдержки,33400,34
467,Беброва,Женский,1987,2015,4,Технический специалист,33400,94
468,Терентьев,Мужской,1981,2011,4,Администратор,40900,89
469,Миридонова,Женский,1985,2022,5,Программист,21400,14
470,Терентьева,Женский,1980,2017,1,Технический специалист,26400,14
471,Беброва,Женский,1975,2002,2,Начальник отдела,38700,47
472,Боброва,Женский,1974,2016,4,Программист,38700,97
473,Амогусов,Мужской,1971,2020,1,Администратор,21200,2
474,Евсеев,Мужской,1974,2020,3,Сотрудник техподдержки,25000,20
475,Дементьев,Мужской,1987,2010,1,Технический специалист,39300,73
476,Хорькова,Женский,1986,2006,2,Сотрудник техподдержки,39500,85
477,Терентьева,Женский,1979,2020,5,Программист,25700,17
478,Миридонова,Женский,1977,2020,1,Программист,22400,24
479,Миридонова,Женский,1982,2015,4,Начальник отдела,22400,50
480,Амогусов,Мужской,1980,2014,1,Начальник отдела,38600,86
481,Древесюк,Мужской,1983,2019,1,Технический специалист,24600,26
482,Доронькин,Мужской,1974,1992,2,Начальник отдела,35700,37
483,Иванова,Женский,1987,2020,4,Сотрудник техподдержки,20400,4
484,Доронькин,Мужской,1983,2013,3,Администратор,38400,54
485,Андреева,Женский,1981,2020,1,Программист,20800,8
486,Дементьев,Мужской,1975,2019,2,Сотрудник техподдержки,22700,27
487,Дементьев,Мужской,1985,2022,1,Технический специалист,25000,10
488,Иванова,Женский,1989,2020,4,Программист,21300,13
489,Терентьев,Мужской,1984,2011,2,Сотрудник техподдержки,34600,46
490,Терентьев,Мужской,1973,1994,3,Технический специалист,38600,56
491,Иванова,Женский,1989,2021,5,Администратор,24100,21
492,Дементьев,Мужской,1981,2018,1,Сотрудник техподдержки,21900,19
493,Миридонов,Мужской,1973,2005,5,Программист,41300,93
494,Терентьева,Женский,1986,2022,2,Технический специалист,20900,9
495,Древесюк,Мужской,1984,2018,5,Сотрудник техподдержки,23700,27
496,Терентьева,Женский,1982,2020,4,Администратор,26200,22
497,Боброва,Женский,1984,2012,2,Начальник отдела,36200,62
498,Дементьев,Мужской,1977,2012,4,Сотрудник техподдержки,37300,33
499,Древесюк,Мужской,1989,2020,2,Администратор,21800,8
500,Дементьев,Мужской,1984,2016,1,Сотрудник техподдержки,33800,58
501,Терентьева,Женский,1987,2018,2,Начальник отдела,22500,5
502,Иванова,Женский,1980,2019,5,Администратор,23200,2
503,Иванова,Женский,1978,2004,2,Технический специалист,42400,84
504,Хорькова,Женский,1984,2017,5,Начальник отдела,35400,84
505,Андреева,Женский,1988,2018,3,Администратор,25300,23
506,Терентьев,Мужской,1970,2019,4,Администратор,20100,1
507,Доронькин,Мужской,1990,2022,5,Администратор,22800,18
508,Евсеев,Мужской,1984,2012,4,Сотрудник техподдержки,40500,95
509,Амогусов,Мужской,1984,2016,4,Технический специалист,33600,56
510,Миридонова,Женский,1984,2012,3,Сотрудник техподдержки,42800,98
511,Доронькин,Мужской,1974,2016,3,Администратор,32300,43
512,Терентьев,Мужской,1989,2020,3,Технический специалист,25400,14
513,Миридонов,Мужской,1986,2015,3,Технический специалист,25400,31
514,Иванова,Женский,1980,2008,2,Администратор,40400,94
515,Боброва,Женский,1973,2014,2,Сотрудник техподдержки,37300,73
516,Альбертов,Мужской,1984,2019,1,Начальник отдела,25200,12
517,Евсеев,Мужской,1982,2020,1,Администратор,24200,12
518,Дементьев,Мужской,1990,2022,5,Технический специалист,23000,20
519,Хорькова,Женский,1972,2006,3,Администратор,39300,53
520,Иванова,Женский,1973,2009,3,Программист,33500,35
521,Терентьева,Женский,1979,2005,2,Программист,39700,97
522,Капибарова,Женский,1982,2021,5,Администратор,23100,21
523,Доронькин,Мужской,1988,2018,3,Технический специалист,24600,26
524,Амогусов,Мужской,1977,2014,3,Технический специалист,35500,55
525,Амогусов,Мужской,1989,2020,2,Администратор,24600,16
526,Боброва,Женский,1975,2014,4,Сотрудник техподдержки,38400,44
527,Беброва,Женский,1971,2007,1,Администратор,42000,90
528,Беброва,Женский,1985,2021,3,Сотрудник техподдержки,22400,14
529,Евсеев,Мужской,1984,2011,3,Сотрудник техподдержки,38200,62
530,Альбертов,Мужской,1970,2022,4,Администратор,22600,26
531,Амогусов,Мужской,1985,2017,4,Начальник отдела,29600,26
532,Евсеев,Мужской,1979,2006,5,Программист,39000,70
533,Андреева,Женский,1984,2019,5,Сотрудник техподдержки,22700,17
534,Боброва,Женский,1983,2010,2,Сотрудник техподдержки,37400,74
535,Боброва,Женский,1988,2018,5,Администратор,23500,5
536,Иванова,Женский,1975,1998,3,Начальник отдела,40100,91
537,Доронькин,Мужской,1974,2020,2,Сотрудник техподдержки,24500,5
538,Терентьев,Мужской,1983,2016,4,Сотрудник техподдержки,33500,75
539,Амогусов,Мужской,1971,2018,3,Администратор,23600,16
540,Терентьева,Женский,1978,2022,4,Начальник отдела,22800,8
541,Терентьева,Женский,1983,2010,5,Начальник отдела,41100,91
542,Терентьева,Женский,1983,2011,1,Администратор,40900,79
543,Альбертов,Мужской,1986,2015,4,Начальник отдела,40900,53
544,Капибарова,Женский,1986,2018,4,Сотрудник техподдержки,26700,27
545,Миридонова,Женский,1977,2012,3,Сотрудник техподдержки,39100,61
546,Капибарова,Женский,1987,2021,2,Технический специалист,22600,26
547,Евсеев,Мужской,1972,2004,1,Технический специалист,40100,71
548,Дементьев,Мужской,1983,2021,3,Технический специалист,24600,6
549,Миридонов,Мужской,1985,2013,4,Технический специалист,41700,87
550,Капибарова,Женский,1981,2009,3,Администратор,44000,100
551,Капибарова,Женский,1982,2006,1,Начальник отдела,41000,90
552,Амогусов,Мужской,1981,2013,3,Технический специалист,33200,32
553,Амогусов,Мужской,1987,2016,4,Сотрудник техподдержки,34600,86
554,Евсеев,Мужской,1976,2008,5,Начальник отдела,40400,64
555,Амогусов,Мужской,1977,2012,3,Технический специалист,37200,62
556,Беброва,Женский,1983,2014,3,Технический специалист,33700,37
557,Иванова,Женский,1979,1998,5,Администратор,37200,62
558,Терентьева,Женский,1978,1999,1,Программист,40300,73
559,Альбертов,Мужской,1974,2005,4,Сотрудник техподдержки,39000,50
560,Евсеев,Мужской,1973,2010,5,Технический специалист,36100,51
561,Терентьев,Мужской,1978,1997,2,Технический специалист,40900,89
562,Капибарова,Женский,1971,1994,1,Начальник отдела,37500,65
563,Боброва,Женский,1972,2016,2,Сотрудник техподдержки,37500,95
564,Беброва,Женский,1984,2013,1,Программист,41900,79
565,Евсеев,Мужской,1988,2014,5,Технический специалист,37600,66
566,Андреева,Женский,1975,1998,3,Программист,35300,43
567,Доронькин,Мужской,1987,2019,3,Программист,24000,20
568,Терентьев,Мужской,1986,2018,1,Программист,23300,13
569,Доронькин,Мужской,1979,2013,5,Администратор,35000,50
570,Альбертов,Мужской,1973,2016,1,Начальник отдела,35800,68
571,Терентьев,Мужской,1987,2010,2,Программист,34400,34
572,Дементьев,Мужской,1982,2008,3,Администратор,33700,37
573,Альбертов,Мужской,1973,2004,3,Программист,41100,71
574,Беброва,Женский,1982,2019,5,Сотрудник техподдержки,23200,2
575,Андреева,Женский,1970,2022,4,Технический специалист,23700,7
576,Миридонова,Женский,1985,2013,4,Технический специалист,41900,99
577,Капибарова,Женский,1982,2019,1,Сотрудник техподдержки,23300,3
578,Дементьев,Мужской,1981,2011,5,Программист,35100,31
579,Доронькин,Мужской,1978,2021,4,Начальник отдела,25200,12
580,Капибарова,Женский,1982,2006,3,Программист,40800,88
581,Миридонов,Мужской,1990,2016,5,Программист,30300,43
582,Дементьев,Мужской,1984,2017,3,Администратор,31300,43
583,Андреева,Женский,1984,2009,4,Администратор,38200,82
584,Боброва,Женский,1983,2014,3,Программист,42000,100
585,Дементьев,Мужской,1972,2021,5,Сотрудник техподдержки,25200,12
586,Хорькова,Женский,1983,2020,1,Технический специалист,21500,5
587,Терентьева,Женский,1971,2001,3,Программист,34000,40
588,Боброва,Женский,1975,2010,3,Администратор,39400,94
589,Евсеев,Мужской,1990,2019,5,Программист,23100,21
590,Андреева,Женский,1984,2010,2,Сотрудник техподдержки,36000,30
591,Иванова,Женский,1971,1993,5,Начальник отдела,41500,75
592,Доронькин,Мужской,1982,2018,5,Технический специалист,22300,23
593,Терентьев,Мужской,1988,2013,5,Программист,35700,37
594,Миридонова,Женский,1985,2014,1,Начальник отдела,40100,91
595,Амогусов,Мужской,1983,2015,1,Сотрудник техподдержки,40100,99
596,Терентьева,Женский,1983,2005,3,Администратор,38700,57
597,Капибарова,Женский,1989,2022,5,Программист,24100,1
598,Дементьев,Мужской,1983,2021,3,Начальник отдела,22900,19
599,Дементьев,Мужской,1982,2013,5,Администратор,35000,50
600,Андреева,Женский,1979,2005,4,Программист,39500,75
601,Андреева,Женский,1973,2011,1,Администратор,36500,45
602,Древесюк,Мужской,1988,2015,1,Начальник отдела,36500,58
603,Терентьев,Мужской,1972,2009,3,Технический специалист,38900,49
604,Хорькова,Женский,1983,2022,3,Начальник отдела,22200,12
605,Боброва,Женский,1989,2014,1,Начальник отдела,37300,63
606,Дементьев,Мужской,1988,2011,4,Сотрудник техподдержки,37100,61
607,Амогусов,Мужской,1971,1996,2,Программист,38600,46
608,Боброва,Женский,1971,2016,4,Программист,38200,92
609,Миридонов,Мужской,1975,2011,1,Технический специалист,42400,84
610,Хорькова,Женский,1982,2021,3,Начальник отдела,21400,4
611,Боброва,Женский,1978,2008,3,Администратор,35200,42
612,Доронькин,Мужской,1971,2001,3,Программист,37900,69
613,Евсеев,Мужской,1975,2008,1,Программист,38200,72
614,Боброва,Женский,1986,2019,4,Сотрудник техподдержки,23400,24
615,Доронькин,Мужской,1971,2019,2,Технический специалист,20600,6
616,Евсеев,Мужской,1985,2010,5,Сотрудник техподдержки,41700,97
617,Амогусов,Мужской,1990,2021,3,Программист,24700,27
618,Амогусов,Мужской,1976,2015,3,Сотрудник техподдержки,24700,88
619,Миридонов,Мужской,1980,2012,1,Программист,37500,35
620,Миридонов,Мужской,1989,2013,4,Программист,40500,85
621,Евсеев,Мужской,1982,2020,1,Программист,23400,24
622,Иванова,Женский,1982,2012,3,Технический специалист,42900,99
623,Боброва,Женский,1978,2011,5,Технический специалист,37200,32
624,Амогусов,Мужской,1978,2007,3,Начальник отдела,41600,96
625,Амогусов,Мужской,1974,2014,5,Технический специалист,37200,72
626,Капибарова,Женский,1977,2009,2,Сотрудник техподдержки,36000,60
627,Хорькова,Женский,1972,2011,2,Администратор,42400,84
628,Беброва,Женский,1975,2015,5,Администратор,42400,44
629,Терентьева,Женский,1974,2017,3,Технический специалист,33400,44
630,Андреева,Женский,1977,2007,4,Технический специалист,34900,49
631,Миридонова,Женский,1971,2001,1,Сотрудник техподдержки,38900,59
632,Миридонова,Женский,1980,2006,4,Программист,35000,40
633,Иванова,Женский,1974,2006,3,Администратор,37200,52
634,Альбертов,Мужской,1987,2016,2,Сотрудник техподдержки,32600,56
635,Древесюк,Мужской,1984,2020,5,Программист,24000,10
636,Беброва,Женский,1985,2021,5,Программист,23200,12
637,Беброва,Женский,1982,2011,5,Начальник отдела,40400,84
638,Амогусов,Мужской,1973,2021,5,Начальник отдела,23300,13
639,Иванова,Женский,1974,2006,3,Программист,36000,40
640,Амогусов,Мужской,1974,2001,5,Администратор,39200,82
641,Амогусов,Мужской,1974,2020,4,Начальник отдела,23000,10
642,Андреева,Женский,1976,2012,4,Технический специалист,35300,43
643,Терентьев,Мужской,1977,2006,5,Начальник отдела,39900,59
644,Андреева,Женский,1990,2018,3,Сотрудник техподдержки,22300,3
645,Иванова,Женский,1984,2013,5,Технический специалист,34300,43
646,Евсеев,Мужской,1972,2001,1,Начальник отдела,39800,88
647,Боброва,Женский,1974,2007,4,Сотрудник техподдержки,39800,58
648,Андреева,Женский,1985,2011,1,Программист,40000,100
649,Миридонова,Женский,1979,2010,2,Технический специалист,38300,73
650,Миридонов,Мужской,1986,2015,2,Начальник отдела,38300,100
651,Доронькин,Мужской,1988,2019,2,Технический специалист,23300,3
652,Боброва,Женский,1982,2011,2,Технический специалист,37200,52
653,Амогусов,Мужской,1980,2012,4,Начальник отдела,42300,83
654,Доронькин,Мужской,1980,2014,5,Администратор,33100,31
655,Дементьев,Мужской,1990,2017,2,Администратор,28100,31
656,Терентьева,Женский,1972,2014,5,Программист,40500,85
657,Терентьева,Женский,1983,2022,4,Программист,24500,15
658,Беброва,Женский,1982,2017,3,Начальник отдела,29500,15
659,Терентьева,Женский,1984,2020,3,Начальник отдела,23800,28
660,Капибарова,Женский,1982,2009,3,Программист,38900,89
661,Хорькова,Женский,1985,2017,3,Программист,34900,89
662,Беброва,Женский,1981,2001,1,Программист,41900,89
663,Беброва,Женский,1973,2021,4,Начальник отдела,21200,2
664,Миридонов,Мужской,1980,2009,2,Начальник отдела,40800,68
665,Доронькин,Мужской,1986,2017,3,Начальник отдела,34800,68
666,Терентьева,Женский,1980,2020,4,Администратор,22300,13
667,Миридонова,Женский,1987,2018,1,Начальник отдела,24600,26
668,Доронькин,Мужской,1983,2016,2,Сотрудник техподдержки,29400,34
669,Доронькин,Мужской,1987,2015,3,Начальник отдела,29400,55
670,Иванова,Женский,1975,2013,1,Администратор,43800,98
671,Терентьева,Женский,1983,2017,1,Начальник отдела,35800,98
672,Терентьев,Мужской,1985,2021,2,Администратор,24200,2
673,Доронькин,Мужской,1986,2012,4,Начальник отдела,41500,75
674,Терентьева,Женский,1970,2013,3,Администратор,39200,92
675,Доронькин,Мужской,1978,2006,3,Программист,42900,99
676,Капибарова,Женский,1970,2020,5,Администратор,24600,26
677,Терентьева,Женский,1975,2008,4,Технический специалист,34000,40
678,Миридонов,Мужской,1978,2021,2,Начальник отдела,22500,5
679,Боброва,Женский,1988,2019,2,Технический специалист,26400,24
680,Древесюк,Мужской,1976,1996,1,Программист,35100,31
681,Терентьев,Мужской,1977,2008,4,Начальник отдела,42000,100
682,Андреева,Женский,1971,2021,5,Сотрудник техподдержки,25000,20
683,Дементьев,Мужской,1984,2016,1,Технический специалист,31500,55
684,Андреева,Женский,1975,2012,5,Администратор,43100,91
685,Альбертов,Мужской,1987,2022,5,Начальник отдела,22800,28
686,Беброва,Женский,1981,2001,2,Администратор,38700,57
687,Древесюк,Мужской,1978,2021,5,Начальник отдела,21600,16
688,Древесюк,Мужской,1989,2017,1,Технический специалист,26600,16
689,Хорькова,Женский,1986,2022,2,Сотрудник техподдержки,23000,30
690,Дементьев,Мужской,1971,2001,2,Администратор,37200,32
691,Альбертов,Мужской,1973,2016,4,Технический специалист,35800,68
692,Дементьев,Мужской,1988,2018,4,Технический специалист,24400,4
693,Доронькин,Мужской,1988,2018,5,Технический специалист,26900,29
694,Иванова,Женский,1973,2000,5,Программист,37100,61
695,Капибарова,Женский,1978,2009,4,Программист,36600,66
696,Дементьев,Мужской,1978,2016,3,Программист,38400,94
697,Андреева,Женский,1977,2011,5,Начальник отдела,35200,52
698,Миридонова,Женский,1988,2017,1,Администратор,30200,52
699,Амогусов,Мужской,1972,2014,1,Сотрудник техподдержки,36000,30
700,Миридонов,Мужской,1989,2012,4,Программист,35700,47
701,Капибарова,Женский,1988,2022,4,Сотрудник техподдержки,23000,20
702,Амогусов,Мужской,1977,2003,2,Начальник отдела,40400,64
703,Миридонов,Мужской,1974,1999,4,Сотрудник техподдержки,35400,34
704,Евсеев,Мужской,1984,2018,3,Программист,26400,24
705,Хорькова,Женский,1983,2019,2,Сотрудник техподдержки,22300,23
706,Беброва,Женский,1989,2020,4,Программист,24700,17
707,Андреева,Женский,1981,2015,2,Начальник отдела,24700,53
708,Беброва,Женский,1989,2020,1,Программист,23700,7
709,Евсеев,Мужской,1984,2014,3,Начальник отдела,36000,30
710,Хорькова,Женский,1981,2016,1,Начальник отдела,37900,89
711,Дементьев,Мужской,1973,2018,2,Начальник отдела,25000,10
712,Миридонова,Женский,1972,2012,2,Программист,38600,86
713,Беброва,Женский,1972,2010,3,Администратор,39300,83
714,Боброва,Женский,1982,2019,5,Программист,20100,1
715,Дементьев,Мужской,1987,2016,3,Администратор,34700,87
716,Андреева,Женский,1979,2007,5,Программист,36300,33
717,Иванова,Женский,1984,2021,3,Начальник отдела,22900,19
718,Амогусов,Мужской,1985,2016,2,Начальник отдела,30000,40
719,Андреева,Женский,1974,2012,1,Программист,37500,45
720,Хорькова,Женский,1977,2007,3,Программист,37400,74
721,Капибарова,Женский,1990,2014,2,Начальник отдела,36200,42
722,Терентьева,Женский,1982,2016,3,Сотрудник техподдержки,34300,83
723,Доронькин,Мужской,1971,2007,2,Программист,39300,53
724,Доронькин,Мужской,1979,2017,4,Программист,34300,53
725,Беброва,Женский,1976,2022,4,Сотрудник техподдержки,25800,28
726,Амогусов,Мужской,1985,2018,5,Технический специалист,21300,13
727,Дементьев,Мужской,1984,2017,5,Начальник отдела,29300,13
728,Древесюк,Мужской,1975,2012,2,Начальник отдела,35100,51
729,Доронькин,Мужской,1975,2012,1,Начальник отдела,38200,42
730,Евсеев,Мужской,1980,2012,4,Сотрудник техподдержки,37100,71
731,Терентьев,Мужской,1981,2017,4,Администратор,32100,71
732,Миридонов,Мужской,1984,2011,3,Сотрудник техподдержки,42400,94
733,Капибарова,Женский,1977,2021,1,Администратор,23200,22
734,Доронькин,Мужской,1989,2022,4,Начальник отдела,22100,1
735,Древесюк,Мужской,1986,2013,3,Администратор,36000,60
736,Дементьев,Мужской,1986,2019,4,Администратор,22000,20
737,Дементьев,Мужской,1989,2013,1,Технический специалист,38900,49
738,Иванова,Женский,1986,2018,2,Программист,25600,26
739,Древесюк,Мужской,1973,1997,4,Программист,37600,66
740,Боброва,Женский,1985,2020,3,Администратор,23700,27
741,Хорькова,Женский,1976,2004,3,Сотрудник техподдержки,42700,87
742,Андреева,Женский,1984,2018,4,Начальник отдела,25300,23
743,Боброва,Женский,1988,2019,2,Сотрудник техподдержки,25900,29
744,Амогусов,Мужской,1976,2006,2,Сотрудник техподдержки,39300,93
745,Терентьева,Женский,1972,2005,3,Технический специалист,41500,75
746,Древесюк,Мужской,1988,2021,1,Администратор,20200,2
747,Капибарова,Женский,1983,2008,3,Администратор,37000,40
748,Терентьев,Мужской,1989,2015,1,Сотрудник техподдержки,37000,34
749,Иванова,Женский,1981,2022,4,Администратор,21500,15
750,Дементьев,Мужской,1982,2012,1,Технический специалист,41600,96
751,Дементьев,Мужской,1972,2014,4,Технический специалист,35400,54
752,Альбертов,Мужской,1981,2015,5,Администратор,35400,74
753,Миридонов,Мужской,1971,1997,4,Начальник отдела,35700,47
754,Терентьева,Женский,1973,2016,4,Сотрудник техподдержки,34200,62
755,Миридонова,Женский,1990,2011,3,Администратор,41400,74
756,Альбертов,Мужской,1981,2022,1,Технический специалист,25600,16
757,Хорькова,Женский,1970,2021,4,Сотрудник техподдержки,25600,26
758,Хорькова,Женский,1981,2014,3,Сотрудник техподдержки,39400,74
759,Миридонова,Женский,1981,2011,3,Программист,36200,62
760,Доронькин,Мужской,1989,2022,5,Администратор,21000,10
761,Дементьев,Мужской,1978,2009,4,Программист,39900,89
762,Капибарова,Женский,1974,2013,1,Технический специалист,41300,93
763,Хорькова,Женский,1978,2020,1,Администратор,23600,16
764,Альбертов,Мужской,1986,2022,5,Администратор,21200,12
765,Древесюк,Мужской,1979,2008,5,Программист,34300,33
766,Амогусов,Мужской,1980,2012,2,Сотрудник техподдержки,39300,53
767,Хорькова,Женский,1989,2020,1,Технический специалист,23000,20
768,Хорькова,Женский,1975,2001,3,Сотрудник техподдержки,35700,37
769,Доронькин,Мужской,1973,2002,1,Администратор,38300,53
770,Боброва,Женский,1987,2013,1,Программист,40400,84
771,Андреева,Женский,1988,2018,5,Программист,20700,7
772,Дементьев,Мужской,1979,2012,3,Начальник отдела,42900,89
773,Капибарова,Женский,1990,2016,2,Технический специалист,34100,91
774,Миридонов,Мужской,1986,2017,3,Технический специалист,34100,91
775,Евсеев,Мужской,1980,2013,3,Программист,38900,89
776,Хорькова,Женский,1982,2009,4,Сотрудник техподдержки,37800,68
777,Беброва,Женский,1970,2018,1,Технический специалист,21600,16
778,Древесюк,Мужской,1988,2014,4,Сотрудник техподдержки,37200,62
779,Евсеев,Мужской,1970,2016,1,Программист,32500,65
780,Боброва,Женский,1971,2000,2,Технический специалист,36800,38
781,Евсеев,Мужской,1987,2018,1,Администратор,22400,14
782,Миридонов,Мужской,1976,2003,2,Администратор,39100,51
783,Дементьев,Мужской,1979,2022,2,Программист,21900,19
784,Капибарова,Женский,1973,2000,5,Начальник отдела,38400,44
785,Древесюк,Мужской,1987,2015,3,Технический специалист,38400,55
786,Древесюк,Мужской,1971,2016,2,Программист,29800,48
787,Капибарова,Женский,1984,2018,2,Начальник отдела,25100,21
788,Доронькин,Мужской,1985,2008,5,Администратор,43200,92
789,Терентьев,Мужской,1972,1996,1,Администратор,34700,47
790,Древесюк,Мужской,1974,2020,2,Программист,21900,19
791,Боброва,Женский,1981,2015,3,Начальник отдела,21900,49
792,Доронькин,Мужской,1971,2010,2,Начальник отдела,34200,32
793,Андреева,Женский,1978,2014,3,Программист,37300,53
794,Капибарова,Женский,1983,2014,4,Технический специалист,41300,73
795,Беброва,Женский,1990,2021,1,Программист,24100,1
796,Древесюк,Мужской,1980,2007,1,Администратор,38200,82
797,Амогусов,Мужской,1977,2009,4,Администратор,33500,35
798,Древесюк,Мужской,1980,2022,4,Программист,21600,6
799,Хорькова,Женский,1981,2011,3,Начальник отдела,36100,41
800,Амогусов,Мужской,1989,2021,3,Технический специалист,26400,24
801,Миридонов,Мужской,1975,2005,2,Технический специалист,42800,98
802,Андреева,Женский,1980,2007,2,Технический специалист,43000,90
803,Андреева,Женский,1978,2007,4,Программист,39800,78
804,Миридонова,Женский,1988,2019,1,Сотрудник техподдержки,20900,9
805,Иванова,Женский,1985,2019,5,Программист,23800,8
806,Миридонов,Мужской,1988,2021,3,Технический специалист,24000,30
807,Боброва,Женский,1976,2011,1,Программист,40500,85
808,Беброва,Женский,1971,2019,3,Начальник отдела,23600,6
809,Боброва,Женский,1978,2011,3,Технический специалист,42500,95
810,Беброва,Женский,1982,2017,4,Программист,38500,95
811,Дементьев,Мужской,1974,2022,1,Программист,23300,23
812,Амогусов,Мужской,1990,2021,4,Сотрудник техподдержки,24600,26
813,Иванова,Женский,1982,2014,3,Программист,37500,75
814,Дементьев,Мужской,1989,2016,1,Сотрудник техподдержки,33500,45
815,Доронькин,Мужской,1971,2000,2,Администратор,36100,41
816,Терентьева,Женский,1990,2010,1,Программист,43700,97
817,Андреева,Женский,1978,2009,4,Программист,35300,33
818,Доронькин,Мужской,1984,2009,3,Технический специалист,39100,51
819,Миридонова,Женский,1973,2006,2,Сотрудник техподдержки,43700,97
820,Древесюк,Мужской,1981,2016,2,Администратор,36800,78
821,Капибарова,Женский,1981,2015,3,Программист,36800,43
822,Терентьев,Мужской,1987,2021,3,Сотрудник техподдержки,22500,15
823,Дементьев,Мужской,1974,2013,5,Технический специалист,43400,94
824,Хорькова,Женский,1989,2019,2,Технический специалист,21900,9
825,Андреева,Женский,1972,2009,4,Администратор,42600,96
826,Хорькова,Женский,1972,2004,4,Сотрудник техподдержки,39400,74
827,Альбертов,Мужской,1990,2020,2,Технический специалист,22800,18
828,Миридонова,Женский,1983,2021,2,Администратор,25800,28
829,Евсеев,Мужской,1982,2011,5,Сотрудник техподдержки,34500,35
830,Капибарова,Женский,1976,2013,1,Программист,35800,58
831,Хорькова,Женский,1976,2017,3,Программист,30800,58
832,Амогусов,Мужской,1986,2019,4,Сотрудник техподдержки,22700,17
833,Древесюк,Мужской,1989,2020,5,Администратор,23200,2
834,Амогусов,Мужской,1988,2013,4,Начальник отдела,37100,61
835,Андреева,Женский,1971,2006,5,Сотрудник техподдержки,38000,60
836,Альбертов,Мужской,1972,2022,5,Программист,24700,17
837,Альбертов,Мужской,1976,2014,3,Программист,38300,83
838,Доронькин,Мужской,1983,2006,4,Технический специалист,34400,44
839,Доронькин,Мужской,1970,2004,2,Начальник отдела,40800,88
840,Боброва,Женский,1982,2017,2,Программист,34800,88
841,Древесюк,Мужской,1988,2010,1,Программист,39100,71
842,Иванова,Женский,1977,2015,3,Технический специалист,39100,56
843,Беброва,Женский,1970,2008,4,Программист,39400,64
844,Древесюк,Мужской,1974,2009,5,Администратор,34600,46
845,Терентьев,Мужской,1983,2022,5,Администратор,25600,26
846,Терентьев,Мужской,1989,2018,3,Начальник отдела,22600,6
847,Дементьев,Мужской,1975,2021,4,Сотрудник техподдержки,26500,25
848,Иванова,Женский,1984,2013,1,Программист,41000,100
849,Амогусов,Мужской,1982,2015,1,Программист,41000,54
850,Амогусов,Мужской,1989,2019,2,Программист,24500,25
851,Древесюк,Мужской,1972,2009,2,Администратор,37100,51
852,Терентьева,Женский,1989,2022,1,Технический специалист,25700,27
853,Древесюк,Мужской,1976,2013,2,Начальник отдела,35700,47
854,Евсеев,Мужской,1981,2016,5,Программист,31300,43
855,Альбертов,Мужской,1981,2018,4,Технический специалист,24200,12
856,Доронькин,Мужской,1986,2007,4,Программист,42300,93
857,Беброва,Женский,1984,2022,2,Сотрудник техподдержки,24800,18
858,Капибарова,Женский,1982,2019,4,Начальник отдела,25300,23
859,Дементьев,Мужской,1988,2012,2,Технический специалист,38000,40
860,Боброва,Женский,1979,2009,2,Администратор,37900,49
861,Альбертов,Мужской,1972,2002,5,Администратор,38400,74
862,Миридонов,Мужской,1977,1997,2,Администратор,42600,86
